node_id;latitude;longitude
1;-12.0459308;-77.0427831
6;-12.0460958;-77.0430896
90275;-12.0461253;-77.0431113
79;-12.0462768;-77.0431753
51668;-12.0466033;-77.0431118
7;-12.0466783;-77.0430483
10;-12.0466949;-77.042435
89757;-12.0465202;-77.0423222
3473;-12.0464537;-77.0423023
3472;-12.0462019;-77.0423251
2;-12.0459528;-77.0425923
3165;-12.0449559;-77.0427122
3;-12.0437464;-77.0427216
4;-12.0435317;-77.0424959
5;-12.0437483;-77.0433487
72;-12.0442165;-77.0431164
55943;-12.0449976;-77.0430511
20398;-12.0476133;-77.0427867
89758;-12.0481839;-77.0427525
25784;-12.0490875;-77.0426528
25783;-12.0504785;-77.0425563
3456;-12.0508129;-77.042518
10285;-12.051938;-77.042419
20279;-12.0534139;-77.0422966
2996;-12.054484;-77.0422029
61002;-12.0554202;-77.0421186
51747;-12.056207;-77.0420426
93140;-12.0567463;-77.0420077
90309;-12.0571748;-77.0419799
10593;-12.0580606;-77.0418971
20265;-12.058701;-77.0418395
8;-12.0597402;-77.0417789
9;-12.0597176;-77.0414237
90834;-12.0582271;-77.041607
90833;-12.0581253;-77.0415754
51748;-12.0561917;-77.0417773
10284;-12.0544607;-77.0419326
20140;-12.0523964;-77.0421092
20106;-12.051819;-77.042164
10287;-12.0508402;-77.0422569
20101;-12.0501363;-77.0423038
20107;-12.0494928;-77.0423052
20136;-12.0482875;-77.0424257
20131;-12.047715;-77.042483
11;-12.0429406;-77.0428589
65165;-12.0416523;-77.0430249
26831;-12.0414592;-77.0430441
37013;-12.0413142;-77.0430584
12;-12.0404055;-77.0432194
13;-12.040437;-77.0433858
25;-12.0412894;-77.0433946
65164;-12.04168;-77.043363
73;-12.042714;-77.0432451
14;-12.0430161;-77.0432623
15;-12.0429803;-77.0431366
16;-12.0429513;-77.0429851
17;-12.0596939;-77.0415471
93168;-12.0597048;-77.0416773
3765;-12.0600042;-77.0420464
12773;-12.0601274;-77.042106
3451;-12.060592;-77.0419873
91660;-12.0606399;-77.0419165
91696;-12.0606707;-77.0418596
3725;-12.060712;-77.0417952
3726;-12.0607307;-77.0413332
3729;-12.0606567;-77.041203
231;-12.0602924;-77.0409936
230;-12.0600813;-77.0410124
20253;-12.0597955;-77.0412134
22;-12.0401117;-77.0432537
18;-12.0394442;-77.0433034
19;-12.0385756;-77.0435026
20;-12.0394508;-77.0434492
21;-12.0385665;-77.0433857
39036;-12.0391213;-77.0432921
24;-12.0391632;-77.0437515
33935;-12.0392703;-77.045413
20381;-12.0391127;-77.0463017
20480;-12.0390045;-77.0466876
20423;-12.0389009;-77.0469819
20540;-12.0388141;-77.0472528
90804;-12.038775;-77.0473252
20429;-12.0386386;-77.0475749
31230;-12.0385001;-77.0477672
40035;-12.037907;-77.0486208
20930;-12.0377422;-77.0489655
20861;-12.0375013;-77.0499369
42858;-12.0374536;-77.0503608
94628;-12.037392;-77.0507706
20907;-12.0373606;-77.0511967
31491;-12.0373411;-77.0513643
94637;-12.0373272;-77.0515046
35587;-12.0372907;-77.0518728
20939;-12.0372606;-77.0520756
20887;-12.0369201;-77.0552974
20220;-12.0367583;-77.0564924
20889;-12.0365066;-77.0578505
20872;-12.0362755;-77.0590981
20867;-12.036219;-77.0594411
20525;-12.0359985;-77.0607803
20822;-12.0358234;-77.0620582
20825;-12.0357047;-77.0629248
40566;-12.0356381;-77.0635047
20912;-12.0355926;-77.0637874
23;-12.035446;-77.0648086
26;-12.0376999;-77.0429004
29;-12.0376438;-77.042301
30610;-12.037488;-77.0418193
27;-12.0373416;-77.0413912
28;-12.0392059;-77.0384802
37981;-12.0387808;-77.0394999
31393;-12.0385802;-77.0400712
94625;-12.0385209;-77.0403544
43649;-12.0384713;-77.0406399
35235;-12.0385533;-77.0410069
22375;-12.0041156;-77.0607707
91079;-12.0041437;-77.0610553
40129;-12.0383905;-77.0424924
25055;-12.038411;-77.0426499
31235;-12.0382368;-77.043282
25054;-12.0377736;-77.0426948
94626;-12.0381727;-77.0434326
32;-12.0373115;-77.043417
30;-12.0368677;-77.0434465
31;-12.0369307;-77.0428828
33;-12.0370037;-77.0437593
34;-12.0364903;-77.044335
35;-12.0360293;-77.0435301
36;-12.0366055;-77.0427713
37;-12.0371208;-77.0414277
39;-12.0361043;-77.0445365
44;-12.035729;-77.0458068
57704;-12.0355352;-77.0469934
15436;-12.0354035;-77.0476868
32369;-12.0351371;-77.0487258
57718;-12.0346327;-77.0499871
57706;-12.0343277;-77.0507274
57710;-12.0342665;-77.0508882
15463;-12.0336769;-77.0523996
38;-12.033002;-77.0538109
40;-12.0357112;-77.0438579
41;-12.0357359;-77.0470859
57685;-12.0362113;-77.0462802
