osm_id;osm_name
24305315;Mama Ocllo
111963618;Nicolas de Pierola
119622367;Arnaldo Marquez
75039241;Jr. General San Roman
119441959;Los Medicos
117598275;Limite
37434930;Calle 1
67659103;Avenida Jorge Basadre Oeste
122236321;Cajamarca
111905901;SAN FRANCISCO DE LA CRUZ
111922483;San Marcos
111896077;Malecon Rimac
129897451;Andahuaylas
122375947;Placido Jimenez
111948214;1 de Mayo
186954341;Ucayali
111953585;Paseo de los Dominicos
111952081;Montecarlo
119524855;Los Auditores
121371346;Daniel Alcides Carrion
186954325;Ferreñafe
111908530;Las Golondrinas
111879404;Circunvalacion
24252822;Libertad
47028454;Cavenecia
111918168;Los Saucos
111699380;Jose Gabriel Aguilar
111943315;Trujillo
24295073;Thomas Edison
184883167;Piedrecilla
111799758;Imperio
111598075;Gregorio Miranda
127709114;Sacramento
124009409;Av. San Diego de Alcala
111922586;Callle J
75035114;Victor Andrés Belaunde
111915278;Los Ajenjos
111919648;Covina
119752746;Juan Moscoso
37615351;Angel Brusco
111932611;Los Eucaliptos
111932101;Cristobal de Peralta
111914077;Santa Ana
189470806;Los Algarrobos
111948421;Las Praderas
111927891;Camino Real
111937681;Moquegua
111903004;Las Orquideas
67625253;Marte
35601112;Pablos Casals
35186081;Arequipa
27877433;Morales Duarez
111884145;Pedro Garezon
111936037;LIMATAMBO
111931628;Los Quimicos
111946230;Las Poncianas
28061399;Plaza Guardia Chalaca
111928793;Calle 18
111880353;Calle 2
123853246;Calle 74
241036948;Calle 6
72395570;28 de Julio
68530976;Felix Gavilan
75980630;Calle Los Ficus
49736970;Adolfo King
118543112;3 de Octubre
111915629;Gloria Bamba
111891537;Pedagogia
70668470;Las Guirnaldas
19070302;Plaza Bolognesi
115576223;Calle 1
111909919;Del Pinar
111897532;Los Laureles
111896363;Cotosh
74849562;28 de Julio
38945822;Angamos Este
143540684;Cieneguilla
118117603;Oropeza
24306381;Juan Manuel Polar
19070256;Italia
111898643;28 de Julio
111894823;Tacna
47731259;Riofrio
111898174;Mariscal Jose de la Mar
111799835;Antonio Razuri
47731179;Manco Segundo
111896964;Delta
111917680;Puerto Mollendo
111929827;Calle 16
111902909;Ricardo Palma
111898999;Los Olivos
143705004;Tupac Yupanqui
39316083;Los Cipreses
24315546;Malecon de la Reserva
24252092;Enrique Meiggs
198550017;Francisco Lazo
111952439;Prol. Jose Carlos Mariategui
24295089;Juan Bielovicic
111954160;La Quebrada
111936376;Belen
111923637;Mateo Pumacahua
71085178;Pacasmayo
111888248;Inca Ollantay
111964583;Leoncio Prado
111908935;5 de Abril
111909901;Antares
144343753;Pablo Patron
111939704;Garcilaso de la Vega
118423772;El Progreso
155103198;José Carlos Mariátegui
111907505;Ayacucho
68543671;El Rosario
121372364;Mariano Melgar
35116488;Prolongacion Parinacochas
111926655;Esteban Tuerten
111912180;Mariano Melgar
111951016;Contumaza
71070688;Las Orquideas
144244972;Santa Sofia
124345483;Calle 13
68327978;Los Nectandros
129897408;Luna Pizarro
111879888;Garcilazo de la Vega
111905998;Los Rosales
71187971;José Carlos Mariategui
111922958;VENCEDORES DE HUAMANGUILLA
111945822;Jorge Basadre
68314490;Los Ricinos
24281900;Las Begonias
68336867;Los Argos
35580792;Calle 7
118423714;28 De Julio
111883874;Contisuyo
119524849;Los Heraldos
108165168;Antonia de Castro
33238115;Bruno Moll
124018464;Los Sauces
111904096;Casma
111893856;6 DE AGOSTO
111921858;Pasa je 5
122223088;Hipolito Unanue
119881227;Sinchi Roca
111957811;Emaus
125895903;Ampliacion Este
111924980;Santander
68335698;Los Zafiros
88161253;Los Guindos
68212710;Los Hinojos
24332454;los paujiles
37435229;Victor Fajardo
34334780;Los Alamos
111953987;Santa Patricia
111923090;La Estrellas
119631128;Calle 36
174868388;Jr. Chincha
47824568;Vilcahuaura
156138281;Tejada
111920970;Republica
111881951;Doña Gloria
70641503;Los Mirtos
37719201;Los Nogales
111906702;Las Amapolas
33232949;Paseo de la Republica
111883992;Los Quimicos
111941101;Mesina
111900558;Cotosh
68212672;Los Ricinos
118276252;Los Chancas
117598290;Calle 12
111899712;La Luna
67716590;Jamesonita
64222860;Artesania
75980637;Trujilllo
129399211;Las Palmeras
111954201;Velasco
116953622;Pacasmayo
111893274;Las Virgenes
111905788;Chuquibamba
111922552;Estrella
172454955;Ramiro Priale
53787303;San Sebastian
241433333;Flor de Amancaes
111964207;RAMIRO MERINO
111893137;Nicolas Ayllon
111955357;Mateo Pumacahua
24252276;Domingo Orue
111902529;EL Boulevard
61732235;Pampas
49736567;Jorge Chavez
125132694;Prolongacion Mariscal Ramon Castilla
68543667;La Pila
39551214;Mama Ocllo
172454951;Principal
111925610;Manuel de la Torre
75033813;Cabo Guitarra
111821110;Los Gladiolos
24307580;General José Maria Cordova
111947394;CHACHAPOYAS
111944914;Yanahuara
119573453;Pozo Seco
149076912;Grau
111919608;Calle B
111918075;Los Pinos
37019588;Los Claveles
149077752;Grau
119631125;Calle 19
111941497;Los Tulipanes
111958352;San Luis
47638918;Manco Capac
116953605;Jauja
111960454;LOS HIDROCARBUROS
14073942;Cristobal Colon
111928700;Calle 1
111821167;Carabayllo
146364282;LOS ASTRONOMOS
111897759;Los Cabildantes
108165179;Andres Coscamayta
122525627;La Cucarda
111903947;Meliton Carbajal
111888913;28 de Marzo
90291321;Rio Chancho
111959437;Huayna Capac
172600383;Jr. Tambo de Belen
111880652;Maximo G.
111915129;Los Almendros
122494043;pasaje 94
39612545;Calle 2
111920213;Las Garzas
111967096;Ollantay
111907059;Santo Cristo
124146870;Garcilaso de la Vega
39550996;Carlos Baca Flor
111937365;Calle 4
111934511;Elmer Faucett
130987816;Javier Heraud
119442008;Berlin
111922053;Calle36
111901790;Los Rosales
19072144;Jr. Salaverry
111950068;Alameda Garzas Reales
14073892;Ca. Porta
115610889;Av. Canta Callao
24316000;Av Ricardo Palma
72389972;Huancavelica
162698466;Las Grullas
111895449;JOSE SANTOS CHOCANO
35600933;Amadeo Mozart
111930272;Las Crucetas
70677426;Llumpa
68543043;Llanas
34111161;Martinto
172763306;Santa Coleta
24252261;Jose Payan
111882672;Marcela Castro
111961686;CIRO ALEGRIA
111895241;Libertad
111946156;Andahuaylas
229824120;Luis Chiappe
111911340;ANDALUCIA
111931374;Progreso
111895535;El Bosque
49438285;Abraham Lincoln
111936021;8 de Octubre
129281457;Arequipa
173557914;2 de Marzo
111913657;Justo Pastor D.
34577182;Moyobamba
117755692;Padre Alonso Abad
111896957;Jorge Chavez
24306749;Maracaibo
158617351;Av. El Golf de los Incas
111930164;Pedro Ruiz Gallo
183705019;Calle 6
207159424;Separadora Industrial
111901605;Los Claveles
68540167;Rio Putumayo
111958811;Calle 4
122242329;Julio Cesar Tello
111936864;La Punta
39363463;Separadora Industrial
187195951;Rio Piura
111920105;Pisagua
111960867;Roger Vidal
111913462;Daniel Alcides Carrion
111966874;Mariano Aragonez
111952247;Los Proceres
111930573;Los Hornos
11989455;Plaza Centro América
124161868;Calle 7
111959036;Pablo Chavez
111970408;Aurora
71284151;Pasaje 43
111957459;Ebenezer
186954329;Rio Chillon
111940661;Alfonso Ugarte
111882320;Alameda Toribio Rodriguez
119622376;Carlos Soberon
111967204;El Marabu
70826193;Calle 9
40743607;Panamericana Norte
115576350;Pasaje 50 A
111890461;MICAELA BASTIDAS
34113259;Galvez Barrenechea
111963734;Progreso
111884689;Húsares de Junín
111883194;Los Bambues
111949517;Los Preculsores
111902006;Los Mochicas
111888556;Kotosh
111886160;Vladimir Malacovski
71208225;Marical Agustin Gamarra
111966369;Jose de San Martin
111891592;Tupaca Amaru
111912754;Avenida E
111891471;Las Almendras
111951168;Teniente Romani
111956145;Los Eucaliptos
111960387;Elmer Faucett
40721303;Santa Honorata
111800027;Huaraz
111935091;Tupac Amaru
119524887;Los Geologos
68327989;Los Mastuerzos
67659598;Avenida El Sol
115663624;Turín
90104446;Ruta 1C
116911787;Alejandro Tirado
26407297;Tomas Marsano
149076900;Grau
111928651;G
111899682;Circunvalación
111889993;Ricardo Limaco E.
36050170;Madre Selva
111948722;La Union
111934328;Calle 112
111953701;Gran Chimu
89558448;Huancarqui
47596908;Mazuelos
111699440;La Mar
68552037;Mirtos
71214932;Misionero Plaza
68218771;Las Calendulas
35893410;Jose Nicolas Rodrigo
111953845;El Alcazar de Toledo
111933063;SALAMANCA
125812120;Victorino Laynes
24315662;Manuel Bonilla
111910828;Tomas Catari
111939358;Santa Cruz
68313581;Las Anemonas
39550890;Lago Titicaca
121371694;Van Gent
44364644;Miguel Aljovín
111966884;Las Ortigas
111821121;Caracas
122456924;Londres
111964905;8 DE OCTUBRE
111917064;Calle 3
111910541;Los Parques
111933511;Ricardo Alvarado
77861280;Acomayo
68335721;Las Amatistas
68212661;Los Tusilagos Oeste
