source;x1;y1
1;-77.0427831;-12.0459308
2;-77.0425923;-12.0459528
3;-77.0427216;-12.0437464
4;-77.0424959;-12.0435317
5;-77.0433487;-12.0437483
6;-77.0430896;-12.0460958
7;-77.0430483;-12.0466783
8;-77.0417789;-12.0597402
9;-77.0414237;-12.0597176
10;-77.042435;-12.0466949
11;-77.0428589;-12.0429406
12;-77.0432194;-12.0404055
13;-77.0433858;-12.040437
14;-77.0432623;-12.0430161
15;-77.0431366;-12.0429803
16;-77.0429851;-12.0429513
17;-77.0415471;-12.0596939
18;-77.0433034;-12.0394442
19;-77.0435026;-12.0385756
20;-77.0434492;-12.0394508
21;-77.0433857;-12.0385665
22;-77.0432537;-12.0401117
23;-77.0648086;-12.035446
24;-77.0437515;-12.0391632
25;-77.0433946;-12.0412894
26;-77.0429004;-12.0376999
27;-77.0413912;-12.0373416
28;-77.0384802;-12.0392059
29;-77.042301;-12.0376438
30;-77.0434465;-12.0368677
31;-77.0428828;-12.0369307
32;-77.043417;-12.0373115
33;-77.0437593;-12.0370037
34;-77.044335;-12.0364903
35;-77.0435301;-12.0360293
36;-77.0427713;-12.0366055
37;-77.0414277;-12.0371208
38;-77.0538109;-12.033002
39;-77.0445365;-12.0361043
40;-77.0438579;-12.0357112
41;-77.0470859;-12.0357359
42;-77.0437464;-12.0379401
43;-77.0438989;-12.0349947
44;-77.0458068;-12.035729
45;-77.0404556;-12.0374088
46;-77.0436464;-12.0352129
47;-77.0435159;-12.0361259
48;-77.0442447;-12.0282786
49;-77.0114993;-11.8669587
50;-77.0441692;-12.028706
51;-77.0323169;-12.038738
52;-77.041591;-12.032718
53;-77.0612299;-12.0304195
54;-77.0700966;-12.0290008
55;-77.0684681;-11.9627579
56;-77.0666597;-11.976904
57;-77.0296433;-12.0429693
58;-77.0135305;-12.0379628
59;-77.0559994;-12.0314295
60;-77.0572045;-12.0298497
61;-77.057047;-12.0280312
62;-77.0580108;-12.0276466
63;-77.0584148;-12.0284264
64;-77.0751226;-12.0259671
65;-77.0121487;-12.0367792
66;-77.0004973;-12.030184
67;-77.0120371;-12.0365358
68;-77.0135305;-12.0378201
69;-77.0434254;-12.0431505
70;-77.056166;-12.0445991
71;-77.0437172;-12.043738
72;-77.0431164;-12.0442165
73;-77.0432451;-12.042714
74;-77.0441292;-12.043268
75;-77.0424641;-12.0434862
76;-77.0375373;-12.0463518
77;-77.0439489;-12.0432512
78;-77.0439119;-12.0437567
79;-77.0431753;-12.0462768
80;-77.0771363;-12.0498607
81;-77.0975678;-12.0535254
82;-77.0956002;-12.0531546
83;-77.0565646;-12.011073
84;-77.0604947;-12.0121047
85;-77.0615773;-12.0044002
86;-77.0547491;-12.0033135
87;-77.0622786;-12.0041793
88;-77.0903805;-12.0116407
89;-77.0597823;-11.9894749
90;-77.0616716;-12.004119
91;-77.0624177;-12.0009421
92;-77.0575788;-12.0037706
93;-77.0596476;-11.9894548
94;-77.0587966;-11.9834484
95;-77.0547822;-12.003319
96;-77.0547122;-12.0037751
97;-77.0593663;-11.9765787
98;-77.0595696;-11.976523
99;-77.065089;-11.977265
100;-77.0656641;-11.9766689
101;-77.0653701;-11.9780878
102;-77.0597167;-11.9769393
103;-77.0878022;-11.9741501
104;-77.0902779;-12.0118785
105;-77.0621969;-12.0046527
106;-77.0976172;-12.0059743
107;-77.0876088;-11.9970685
108;-77.0715783;-11.9912519
109;-77.067724;-11.9663497
110;-77.0678219;-11.9663706
111;-77.0723846;-11.9784413
112;-77.0717535;-11.9912739
113;-77.0755003;-12.026689
114;-77.0752943;-12.0264707
115;-77.0751827;-12.0255641
116;-77.0754798;-12.0258556
117;-77.0965156;-12.0109233
118;-77.1069064;-11.9906877
119;-77.1058535;-12.0218837
120;-77.1322782;-12.059503
121;-77.1280533;-12.0590959
122;-77.1061544;-12.022474
123;-77.0993542;-12.0390241
124;-77.1060424;-12.0215331
125;-77.125312;-11.9965703
126;-77.109488;-12.0033485
127;-77.0945659;-12.0300847
128;-77.1159645;-12.0018405
129;-77.1159655;-12.000364
130;-77.1146391;-11.9986409
131;-77.1190165;-11.9997466
132;-77.0581491;-12.0290679
133;-77.0574752;-12.0317746
134;-77.0581972;-12.0329423
135;-77.0744532;-12.0317509
136;-77.0807617;-12.0313984
137;-77.0805892;-12.0316309
138;-77.074192;-12.0319644
139;-77.077089;-12.0318494
140;-77.0778895;-12.0317968
141;-77.0770824;-12.0319298
142;-77.0583582;-12.033178
143;-77.0779055;-12.0318814
144;-77.094507;-12.0298487
145;-77.0594968;-11.9770105
146;-77.015287;-12.0394151
147;-77.013221;-12.0371405
148;-77.0123134;-12.0321864
149;-77.0179568;-12.0403425
150;-77.0241154;-12.0430329
