source;target;cost
1;6;0.0005568
6;90275;5.77e-05
90275;79;0.0002604
79;51668;0.0005382
51668;7;0.0001547
7;10;0.0010332
10;89757;0.0003282
89757;3473;0.0001101
3473;3472;0.0004055
3472;2;0.0005868
2;1;0.0002999
2;3165;0.001601
3165;3;0.0019795
3;4;0.0004969
5;72;0.0008688
72;55943;0.0012449
55943;6;0.0017818
7;20398;0.0016364
20398;89758;0.000908
89758;25784;0.0014437
25784;25783;0.0022147
25783;3456;0.0005345
3456;10285;0.0017938
10285;20279;0.0023522
20279;2996;0.0017061
2996;61002;0.0014929
61002;51747;0.0012554
51747;93140;0.0008584
93140;90309;0.000682
90309;10593;0.001413
10593;20265;0.0010212
20265;8;0.0016558
9;90834;0.0023949
90834;90833;0.000169
90833;51748;0.0030875
51748;10284;0.0027603
10284;20140;0.0032906
20140;20106;0.0009211
20106;10287;0.0015615
10287;20101;0.0011205
20101;20107;0.0010222
20107;20136;0.0019237
20136;20131;0.0009138
20131;10;0.0016839
11;65165;0.0024145
65165;26831;0.0003596
26831;37013;0.00027
37013;12;0.0017148
13;25;0.0015798
25;65164;0.0007261
65164;73;0.0019281
73;14;0.0005613
13;15;0.0040593
16;12;0.0040616
17;93168;0.000203
93168;8;0.0001675
8;3765;0.0005995
3765;12773;0.0002165
12773;3451;0.0007674
3451;91660;0.0001337
91660;91696;0.000101
91696;3725;0.0001196
3725;3726;0.0007384
3726;3729;0.0002339
3729;231;0.0006794
231;230;0.0003377
230;20253;0.0005598
20253;9;0.0003495
9;17;0.0001954
12;22;0.0004697
22;18;0.0010631
19;20;0.0013927
20;13;0.0015697
18;21;0.0014001
22;39036;0.0029396
39036;24;0.0012544
24;33935;0.004527
33935;20381;0.0024555
20381;20480;0.0010914
20480;20423;0.0008504
20423;20540;0.000775
20540;90804;0.0002248
90804;20429;0.0007776
20429;31230;0.0006493
31230;40035;0.0028468
40035;20930;0.0010431
20930;20861;0.0027363
20861;42858;0.0011601
42858;94628;0.0011272
94628;20907;0.0011617
20907;31491;0.0004589
31491;94637;0.0003834
94637;35587;0.0010062
35587;20939;0.0005577
20939;20887;0.0088104
20887;20220;0.0032826
20220;20889;0.0037581
20889;20872;0.0034522
20872;20867;0.0009457
20867;20525;0.0036922
20525;20822;0.0035082
20822;20825;0.0023791
20825;40566;0.0015874
40566;20912;0.0007789
20912;23;0.0028063
24;25;0.0050345
26;29;0.0013096
29;30610;0.0011035
30610;27;0.0009864
28;37981;0.0031062
37981;31393;0.0016574
31393;94625;0.0007874
94625;43649;0.0007884
43649;35235;0.0010313
22375;91079;0.0007778
35235;40129;0.0040815
40129;25055;0.000432
25055;31235;0.0023255
31235;25054;0.0022554
25054;29;0.0011298
21;94626;0.0006298
94626;32;0.0013696
32;30;0.0007065
31;32;0.0025188
33;34;0.0033693
35;36;0.0038648
37;36;0.0052456
36;39;0.0066631
39;44;0.0048104
44;57704;0.0043626
57704;15436;0.0025609
15436;32369;0.0038961
32369;57718;0.0049427
57718;57706;0.0029126
57706;57710;0.0006255
57710;15463;0.0058996
15463;38;0.0057016
39;40;0.0025886
41;57685;0.003413
57685;57686;0.0094434
57686;42;0.0018267
43;44;0.0074697
45;19867;0.000159
19867;44550;0.0012859
44550;19846;0.0004781
19846;38658;0.0016151
38658;19878;0.0016693
19878;46;0.0009749
47;35;0.000155
35;46;0.0013094
46;19837;0.0009172
19837;19826;0.0025206
19826;19855;0.0008163
19855;19822;0.0006774
19822;20000;0.0018262
20000;19939;0.0007858
19939;90861;0.0024229
90861;50;0.0004047
50;48;0.0006968
49;87469;0.0005048
87469;88515;0.0014319
88515;88582;0.001799
88582;88396;0.0018897
88396;88586;0.0018218
88586;88393;0.0009344
88393;88702;0.0009333
88702;88379;0.0009388
88379;88634;0.0009186
88634;87684;0.0010573
87684;87661;0.0001486
87661;87486;0.0018481
87486;87468;0.0056293
87468;87678;0.0009342
87678;87628;0.0009257
87628;87697;0.0009286
87697;87627;0.004768
87627;87535;0.0021905
87535;87363;0.0013018
87363;86996;0.0020198
86996;87400;0.007145
87400;87205;0.0059464
87205;87128;0.0008423
87128;87127;0.0001133
87127;87255;0.0037657
87255;94659;0.0016145
94659;86963;0.0087597
86963;10610;0.0002293
10610;10608;0.0007535
10608;88767;0.0026134
88767;88746;0.0011589
88746;79107;0.0042692
79107;15802;0.0016198
15802;15801;0.0002522
15801;15842;0.0067662
15842;15849;0.0003084
15849;21973;0.0183558
21973;22092;0.0001431
22092;22082;0.0202054
22082;90559;0.0003608
90559;22396;0.007334
22396;22409;0.0003016
22409;48486;0.0333357
48486;2692;0.0219467
2692;47808;0.0002558
95818;90863;0.0002193
47808;158;0.0177639
158;98;0.0001362
98;162;0.0005499
162;102;0.000151
102;46942;0.0016691
46942;47996;0.0029504
47996;16607;0.0003468
16607;16609;0.0016641
16609;2663;0.0033921
2663;47789;0.0001684
47789;94;0.0003293
94;16007;0.0033453
16007;91075;0.0001539
91075;94284;0.003871
94284;12481;0.0018153
12481;91051;0.0002437
91051;86;0.0234586
86;15638;0.0007319
15638;2979;0.005789
2979;90645;0.0002008
90645;40776;0.0015627
40776;95818;0.0007375
90863;15621;0.003192
15621;90864;0.0130416
90864;13433;0.0038749
13433;13427;0.0008527
13427;15336;0.0008493
15336;13450;0.000768
13450;90851;0.0009695
90851;57691;0.0001425
57691;90857;0.0038172
90857;90854;0.0078017
90854;50;0.0007928
51;19760;0.0007617
19760;19861;0.0019419
19861;19869;0.0030938
19869;19871;0.0004002
19871;38587;0.0002961
38587;25121;0.0014747
25121;19856;0.003001
19856;19834;0.0001132
19834;44974;0.0013484
44974;19862;0.0005713
19862;19842;0.0015693
19842;19850;0.0002877
19850;19877;0.0019094
19877;19883;0.0018634
19883;19841;0.0018389
19841;19954;0.0019197
19954;19997;0.0001609
19997;50269;0.0009412
50269;50223;0.0002197
50223;19967;0.0016141
19967;48;0.0037956
50;90862;0.000621
90862;20002;0.0024958
20002;50270;0.0019343
50270;19955;0.001252
19955;19840;0.0020829
19840;52;0.0005265
53;17721;0.0028575
17721;17728;0.0025588
17728;17736;0.0023577
17736;17709;0.004311
17709;402;0.0008861
402;17719;0.0019201
17719;17714;0.0031116
17714;90466;0.0039216
90466;90463;0.0003973
90463;94612;0.0011533
94612;54;0.0012699
55;28516;0.0001946
28516;42653;0.0018448
42653;110;0.0013613
110;12994;0.0001455
12994;2515;0.0044126
2515;2522;0.0001511
2522;2612;0.0022124
2612;2523;0.0007166
2523;56;0.0022574
57;50282;0.0067872
50282;50336;0.0018347
50336;10501;0.0007965
10501;50235;0.0023572
50235;146;0.0021412
146;58;0.002085
59;57693;0.0002009
57693;60;0.0016286
61;13448;0.0021392
13448;62;0.0018723
63;57699;0.0020085
57699;17083;0.0018548
17083;17077;0.0009672
17077;17124;0.0027463
17124;17126;0.0005088
17126;17131;0.000794
17131;17134;0.0015186
17134;17162;0.0008473
17162;17161;0.0001982
17161;17178;0.0009272
17178;17123;0.0027806
17123;17104;0.0008526
17104;17106;0.0008547
17106;17101;0.0015162
17101;28124;0.0008752
28124;25318;0.0044449
25318;17331;0.0013465
17331;32557;0.0022848
32557;17317;0.0005205
17317;39544;0.0018777
39544;17336;0.0012717
17336;3002;0.0021119
3002;64;0.0003966
65;56705;0.0023013
56705;56789;0.0008122
56789;56774;0.0025384
56774;56781;0.0009386
56781;56835;0.0014059
56835;66;0.0043008
67;68;0.0018022
69;32186;0.0008124
32186;77;0.0001556
77;74;0.0003283
74;36271;0.0006437
36271;20380;0.0024119
20380;20428;0.0023278
20428;35870;0.0023784
